bead_type_i,bead_type_j,gamma,b
C12_B1,C12_B1,1.0000710712312502,
C12_B1,C12_B2,1.0000785552017522,
C12_B1,C12_B3,1.0001447111921569,0.6011547221053026
C12_B1,C12_B4,1.0000636598509154,
C12_B1,C4H_B1,1.0000803172596298,
C12_B1,C4H_B2,1.0000800669598355,
C12_B1,H2O_B1,1.0044516872674263,
C12_B2,C12_B2,1.0001086368893277,
C12_B2,C12_B3,1.0000873834332002,
C12_B2,C12_B4,1.0001927382739406,0.6005406712650874
C12_B2,C4H_B1,1.0000757565625087,
C12_B2,C4H_B2,1.00007696891866,
C12_B2,H2O_B1,1.003994887879661,
C12_B3,C12_B3,1.0000597603918644,
C12_B3,C12_B4,1.0001277027490676,0.5992577356237943
C12_B3,C4H_B1,1.0000814295902922,
C12_B3,C4H_B2,1.000080360253328,
C12_B3,H2O_B1,1.0045277354863438,
C12_B4,C12_B4,1.0000776634677175,
C12_B4,C4H_B1,1.0000782544810658,
C12_B4,C4H_B2,1.000077427173247,
C12_B4,H2O_B1,1.0043407789799335,
C4H_B1,C4H_B1,1.0000024644795702,
C4H_B1,C4H_B2,1.0000044431008959,0.955665683998615
C4H_B1,H2O_B1,0.9996299881995196,
C4H_B2,C4H_B2,1.0000019839938472,
C4H_B2,H2O_B1,0.9996301775907125,
H2O_B1,H2O_B1,0.9808247655964739,
