#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
250500,25319.827002405393,12789.08266596566,38108.90966837105,297.60531896523077,45.11750744639256,0.7919544834737398
251000,25085.656103967893,12859.023532074876,37944.67963604277,299.23286132388097,45.11750744639256,0.7919544834737398
251500,24988.477099298703,13210.358199356007,38198.83529865471,307.4085114819644,45.11750744639256,0.7919544834737398
252000,25094.607254862058,12732.895312688779,37827.50256755084,296.2978244692981,45.11750744639256,0.7919544834737398
252500,25268.256977915036,12868.115602422273,38136.37258033731,299.4444361933587,45.11750744639256,0.7919544834737398
253000,25456.698006510007,12872.435022507794,38329.1330290178,299.54495023536396,45.11750744639256,0.7919544834737398
253500,25148.4551991217,12688.435245422064,37836.890444543766,295.2632270047483,45.11750744639256,0.7919544834737398
254000,25137.43536078857,12961.125708861742,38098.56106965031,301.60880584495,45.11750744639256,0.7919544834737398
254500,25386.917488931882,12569.0626868424,37955.98017577428,292.4853961548204,45.11750744639256,0.7919544834737398
255000,25154.85218512939,12932.119653017493,38086.971838146885,300.93382729278034,45.11750744639256,0.7919544834737398
255500,25389.644062875974,13102.058169624303,38491.702232500276,304.88834129196164,45.11750744639256,0.7919544834737398
256000,24952.690808176267,13104.79779726162,38057.48860543789,304.95209314798956,45.11750744639256,0.7919544834737398
256500,25149.139851450193,12681.508406438865,37830.64825788906,295.1020376388759,45.11750744639256,0.7919544834737398
257000,25173.732094644773,12838.636126800906,38012.36822144568,298.75844103839955,45.11750744639256,0.7919544834737398
257500,24952.077778696286,12808.453470802517,37760.5312494988,298.0560826910317,45.11750744639256,0.7919544834737398
258000,24738.775977014768,12756.268476428464,37495.04445344323,296.84172413995134,45.11750744639256,0.7919544834737398
258500,24979.98085677551,12900.374917166773,37880.35577394228,300.195118936202,45.11750744639256,0.7919544834737398
259000,24879.063986658322,12923.585543496301,37802.649530154624,300.7352363185506,45.11750744639256,0.7919544834737398
259500,25373.32711684631,12596.833996329457,37970.16111317577,293.1316418343462,45.11750744639256,0.7919544834737398
260000,25184.447594522702,12979.374756704085,38163.82235122679,302.03346599030857,45.11750744639256,0.7919544834737398
260500,25252.297294496762,12820.851990245283,38073.149284742045,298.34459950102,45.11750744639256,0.7919544834737398
261000,25414.444504617917,12928.248510816135,38342.69301543405,300.84374479509967,45.11750744639256,0.7919544834737398
261500,25475.76331984924,12764.352761244401,38240.11608109364,297.02984757492254,45.11750744639256,0.7919544834737398
262000,25330.79018866943,13075.010275402805,38405.800464072236,304.25892967602545,45.11750744639256,0.7919544834737398
262500,25369.292216181027,13016.287014221074,38385.5792304021,302.8924239358463,45.11750744639256,0.7919544834737398
263000,25224.10447776245,12844.369705226272,38068.47418298872,298.8918629170957,45.11750744639256,0.7919544834737398
263500,25305.47420203613,12914.072062358959,38219.54626439509,300.5138551091006,45.11750744639256,0.7919544834737398
264000,25057.66532790588,12956.134395519737,38013.79972342562,301.4926566700638,45.11750744639256,0.7919544834737398
