Iteration,H2O_H2O_Gradient,H2O_H2O_Gamma
0,-0.006324555691433069,0.5
1,-0.006315496913650149,0.5063245556914331
2,-0.006318466789087023,0.5126400526050833
3,-0.006312926004142546,0.5189585193941703
4,-0.0062805880706054175,0.5252714453983128
5,-0.006281234533104449,0.5315520334689182
6,-0.006272806842633939,0.5378332680020227
7,-0.0062249406879288215,0.5441060748446567
8,-0.006226863501171449,0.5503310155325855
9,-0.006224582335423419,0.5565578790337569
10,-0.006211860810283145,0.5627824613691803
11,-0.006194409325876618,0.5689943221794634
12,-0.00618762986047007,0.5751887315053401
13,-0.006190934883912176,0.5813763613658102
14,-0.006168114461305226,0.5875672962497224
15,-0.006156352643100035,0.5937354107110276
16,-0.006162716903770695,0.5998917633541276
17,-0.006146085401271617,0.6060544802578983
18,-0.006142898650267631,0.6122005656591699
19,-0.0061113254673458885,0.6183434643094375
