#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
250500,-80544.45990385546,14814.54059002467,-65729.91931383079,297.03754032480174,59.82922259027367,1.0000179850123965
251000,-79912.9104653789,14937.854279035702,-64975.056186343194,299.5100297448839,59.82922259027367,1.0000179850123965
251500,-79495.73340239062,15171.510283264564,-64324.22311912605,304.19492728568224,59.82922259027367,1.0000179850123965
252000,-79752.31262602343,15227.954511464573,-64524.358114558854,305.3266569271233,59.82922259027367,1.0000179850123965
252500,-80139.10748686327,15391.962474287604,-64747.14501257567,308.6150830227282,59.82922259027367,1.0000179850123965
253000,-80111.95563139452,15306.00157880236,-64805.95405259216,306.8915322447683,59.82922259027367,1.0000179850123965
253500,-80043.13971342577,15325.240897557698,-64717.89881586807,307.2772883798225,59.82922259027367,1.0000179850123965
254000,-80176.95526518358,14950.972420428996,-65225.98284475459,299.77305379408875,59.82922259027367,1.0000179850123965
254500,-80394.07324614062,14724.150667752721,-65669.9225783879,295.22518576553256,59.82922259027367,1.0000179850123965
255000,-80290.96454252733,14943.537734447047,-65347.42680808029,299.62398532829695,59.82922259027367,1.0000179850123965
255500,-80483.14758696093,14730.296176918782,-65752.85141004215,295.3484057139095,59.82922259027367,1.0000179850123965
256000,-80461.57934965624,14433.873078192584,-66027.70627146366,289.4050025009625,59.82922259027367,1.0000179850123965
256500,-80556.37768949999,14961.345546555822,-65595.03214294417,299.9810391751721,59.82922259027367,1.0000179850123965
257000,-80399.60492338671,15116.829213429242,-65282.77570995747,303.09854968372343,59.82922259027367,1.0000179850123965
257500,-80292.84131254687,15117.472449155524,-65175.36886339134,303.1114468206156,59.82922259027367,1.0000179850123965
258000,-80288.29700102343,14787.976158235688,-65500.32084278774,296.50491270595825,59.82922259027367,1.0000179850123965
258500,-80048.11798491015,14826.457227583393,-65221.660757326754,297.27647373538406,59.82922259027367,1.0000179850123965
259000,-80222.58752836718,14850.96836248663,-65371.61916588055,297.76793191986064,59.82922259027367,1.0000179850123965
259500,-80688.58203520312,15091.680659416132,-65596.90137578698,302.5943109878701,59.82922259027367,1.0000179850123965
260000,-80126.24353422655,14688.728860059753,-65437.5146741668,294.5149641716168,59.82922259027367,1.0000179850123965
260500,-80209.56756987108,15167.877966819797,-65041.68960305129,304.12209786948273,59.82922259027367,1.0000179850123965
261000,-79822.0393716289,14907.93976002466,-64914.09961160424,298.91023152008967,59.82922259027367,1.0000179850123965
261500,-79926.02582182421,14897.664185831323,-65028.361635992886,298.70420209479187,59.82922259027367,1.0000179850123965
262000,-80408.06427397265,15030.07171343686,-65377.992560535786,301.3590266626843,59.82922259027367,1.0000179850123965
262500,-80226.0540200664,14648.043441471178,-65578.01057859522,293.6992050469111,59.82922259027367,1.0000179850123965
263000,-80147.15326323046,15085.474616226973,-65061.678647003486,302.4698773078073,59.82922259027367,1.0000179850123965
263500,-79840.09027494921,15200.0187772325,-64640.07149771671,304.7665341387697,59.82922259027367,1.0000179850123965
264000,-80110.11139311327,15100.631382005755,-65009.48001110752,302.7737766018049,59.82922259027367,1.0000179850123965
264500,-80195.90112699999,14967.14197758364,-65228.75914941635,300.0972599654628,59.82922259027367,1.0000179850123965
265000,-80568.61890043749,15017.710818509804,-65550.90808192769,301.1111857118945,59.82922259027367,1.0000179850123965
265500,-80601.08313383593,14818.670326976804,-65782.41280685912,297.12034322368316,59.82922259027367,1.0000179850123965
266000,-80507.32068266405,15083.19572161592,-65424.12496104813,302.42418454765635,59.82922259027367,1.0000179850123965
266500,-80543.78473295702,14827.575479255524,-65716.2092537015,297.2988951344235,59.82922259027367,1.0000179850123965
267000,-80631.60797514452,15073.121960060205,-65558.48601508432,302.22220154749886,59.82922259027367,1.0000179850123965
267500,-80083.29364408983,14890.560727615608,-65192.732916474226,298.56177487989623,59.82922259027367,1.0000179850123965
268000,-80142.55933012499,14800.891278067953,-65341.66805205704,296.76386609061865,59.82922259027367,1.0000179850123965
268500,-79900.3840981914,14663.585580635583,-65236.79851755581,294.01083123340857,59.82922259027367,1.0000179850123965
269000,-80087.68573393358,14801.46227827156,-65286.223455662024,296.77531487601794,59.82922259027367,1.0000179850123965
269500,-80060.32263578905,14674.179635737557,-65386.143000051496,294.2232463299438,59.82922259027367,1.0000179850123965
270000,-80067.29083647265,15254.506118306657,-64812.78471816599,305.85902740058594,59.82922259027367,1.0000179850123965
270500,-79715.41153349413,14675.532317777746,-65039.879215716384,294.25036815283244,59.82922259027367,1.0000179850123965
271000,-80228.19775785937,15563.655294307042,-64664.54246355232,312.05759361832116,59.82922259027367,1.0000179850123965
271500,-79698.63739408983,15052.003490973613,-64646.63390311622,301.7987676870435,59.82922259027367,1.0000179850123965
272000,-80185.19598783983,15086.98860304826,-65098.207384791574,302.50023335690287,59.82922259027367,1.0000179850123965
272500,-79987.97864164843,14779.95765683474,-65208.02098481369,296.344138504507,59.82922259027367,1.0000179850123965
273000,-80051.00006498827,14756.078084210632,-65294.92198077764,295.8653433995782,59.82922259027367,1.0000179850123965
273500,-80155.52350248827,15387.078812889755,-64768.44468959852,308.517163633289,59.82922259027367,1.0000179850123965
274000,-80175.5653115703,14698.85498712305,-65476.71032444725,294.717997121415,59.82922259027367,1.0000179850123965
274500,-80192.93518461718,14926.420269716531,-65266.51491490065,299.2807732260214,59.82922259027367,1.0000179850123965
275000,-79870.69556059374,14853.540324498084,-65017.155236095656,297.81950080011364,59.82922259027367,1.0000179850123965
275500,-80207.70386137499,15023.496122791432,-65184.20773858356,301.2271834064165,59.82922259027367,1.0000179850123965
276000,-80122.2620278789,15057.8629861027,-65064.399041776196,301.91625293811234,59.82922259027367,1.0000179850123965
276500,-79919.60547270312,14856.053921540268,-65063.55155116285,297.8698994390887,59.82922259027367,1.0000179850123965
277000,-80348.99127592577,14929.689164942363,-65419.30211098341,299.34631589955626,59.82922259027367,1.0000179850123965
277500,-80411.32934965624,15068.044471740257,-65343.28487791598,302.1203958497507,59.82922259027367,1.0000179850123965
278000,-79964.81579985155,15026.138490809593,-64938.67730904196,301.28016395562605,59.82922259027367,1.0000179850123965
278500,-79801.81360258593,14998.174647098873,-64803.638955487055,300.71947756083824,59.82922259027367,1.0000179850123965
279000,-80029.7664834453,15219.582718866179,-64810.183764579124,305.15879909404197,59.82922259027367,1.0000179850123965
279500,-79650.49225248827,15031.455037732841,-64619.03721475543,301.386762875215,59.82922259027367,1.0000179850123965
280000,-80084.62939848437,15049.943024783162,-65034.6863737012,301.7574545052128,59.82922259027367,1.0000179850123965
280500,-80083.21155180468,14892.484721938148,-65190.72682986653,298.60035174548943,59.82922259027367,1.0000179850123965
281000,-80036.42889799608,14891.276484542526,-65145.15241345356,298.57612609624005,59.82922259027367,1.0000179850123965
281500,-80055.46008696093,15232.022947340738,-64823.43713962019,305.40823071459795,59.82922259027367,1.0000179850123965
282000,-80710.79297270312,15135.025020029396,-65575.76795267372,303.4633829773305,59.82922259027367,1.0000179850123965
282500,-80299.74408354296,15063.676488819357,-65236.0675947236,302.0328160226801,59.82922259027367,1.0000179850123965
283000,-80114.02264799608,14920.542416843586,-65193.4802311525,299.16291989475127,59.82922259027367,1.0000179850123965
283500,-80035.95331205858,14889.970818268368,-65145.982493790216,298.54994695850684,59.82922259027367,1.0000179850123965
284000,-80179.57922758593,15017.688425692264,-65161.89080189366,301.1107367268313,59.82922259027367,1.0000179850123965
284500,-80243.11438383593,14982.730626850738,-65260.38375698519,300.4098186983608,59.82922259027367,1.0000179850123965
285000,-80546.52612699999,14790.513761186274,-65756.01236581372,296.55579267312174,59.82922259027367,1.0000179850123965
285500,-80220.57715239062,14736.663454415742,-65483.91369797487,295.4760722071611,59.82922259027367,1.0000179850123965
286000,-80190.35547270312,14814.681231128052,-65375.67424157506,297.04036023589947,59.82922259027367,1.0000179850123965
286500,-80080.50232328905,14705.636011812836,-65374.86631147622,294.85395941349526,59.82922259027367,1.0000179850123965
287000,-80035.01813139452,14977.95961069013,-65057.05852070439,300.31415789156193,59.82922259027367,1.0000179850123965
287500,-80437.42462553515,14983.97253529902,-65453.452090236126,300.4347194658564,59.82922259027367,1.0000179850123965
288000,-80367.88135160937,14778.63194794301,-65589.24940366636,296.317557504172,59.82922259027367,1.0000179850123965
288500,-80314.03949369921,14879.420507055125,-65434.61898664408,298.33840894466164,59.82922259027367,1.0000179850123965
289000,-80269.00043119921,14688.757818577345,-65580.24261262186,294.5155448016258,59.82922259027367,1.0000179850123965
289500,-80501.4026528789,15131.700009291992,-65369.702643586905,303.39671516505587,59.82922259027367,1.0000179850123965
290000,-79784.43115629687,15373.944054965163,-64410.4871013317,308.2538064159002,59.82922259027367,1.0000179850123965
290500,-79956.99603666796,14926.823696983978,-65030.17233968398,299.2888621061655,59.82922259027367,1.0000179850123965
291000,-79935.0535928203,15229.459019345231,-64705.59457347507,305.3568229196192,59.82922259027367,1.0000179850123965
291500,-80058.92871489062,15020.196722836234,-65038.73199205438,301.16102910070015,59.82922259027367,1.0000179850123965
292000,-80088.37457670702,14814.589566749986,-65273.785009957035,297.0385223279852,59.82922259027367,1.0000179850123965
292500,-79788.8020669414,14922.830932452227,-64865.97113448917,299.2088055598014,59.82922259027367,1.0000179850123965
293000,-80191.01520170702,15248.282954344992,-64942.73224736203,305.73425044209864,59.82922259027367,1.0000179850123965
293500,-80579.02289213671,14914.933311952977,-65664.08958018373,299.05045506939905,59.82922259027367,1.0000179850123965
294000,-80166.96503080858,15026.305531705962,-65140.65949910262,301.28351319326794,59.82922259027367,1.0000179850123965
294500,-80253.19623198046,15207.673368558171,-65045.52286342229,304.9200117957886,59.82922259027367,1.0000179850123965
295000,-80027.76367582812,14769.084088737145,-65258.67958709097,296.12611905917646,59.82922259027367,1.0000179850123965
295500,-80935.64123930468,15348.034839795902,-65587.60639950878,307.7343161557159,59.82922259027367,1.0000179850123965
296000,-80634.83075346483,14807.409641058184,-65827.42111240665,296.89456190921635,59.82922259027367,1.0000179850123965
296500,-80098.2063638164,14579.622525081737,-65518.58383873466,292.327337955415,59.82922259027367,1.0000179850123965
297000,-80852.72021879687,15180.580060226377,-65672.14015857049,304.3767799880094,59.82922259027367,1.0000179850123965
297500,-80177.11487211718,15257.667769172345,-64919.44710294483,305.92241978125435,59.82922259027367,1.0000179850123965
298000,-80322.93707670702,15040.698153492296,-65282.238923214725,301.57209109065593,59.82922259027367,1.0000179850123965
298500,-80008.77740873827,14661.248885774054,-65347.52852296422,293.9639795548201,59.82922259027367,1.0000179850123965
299000,-80467.87262358202,14719.52598499856,-65748.34663858346,295.13245900281385,59.82922259027367,1.0000179850123965
299500,-80092.75830473437,14815.297435905552,-65277.46086882881,297.05271539131803,59.82922259027367,1.0000179850123965
300000,-79841.84918608202,14725.379077199847,-65116.470108882175,295.2498158725864,59.82922259027367,1.0000179850123965
300500,-80252.24243559374,14907.664053005166,-65344.578382588574,298.9047034826576,59.82922259027367,1.0000179850123965
301000,-79786.91968168749,14971.85315266141,-64815.06652902608,300.19172093430865,59.82922259027367,1.0000179850123965
301500,-80253.03424467577,15027.410072620492,-65225.62417205528,301.3056596860631,59.82922259027367,1.0000179850123965
302000,-80374.43719877733,15026.234124141745,-65348.20307463559,301.2820814426776,59.82922259027367,1.0000179850123965
302500,-80170.80859770312,15451.362050534808,-64719.44654716831,309.8060685897518,59.82922259027367,1.0000179850123965
303000,-79880.87317289843,15011.205350365024,-64869.6678225334,300.98074844017185,59.82922259027367,1.0000179850123965
303500,-80063.21997465624,14634.474172931165,-65428.745801725076,293.4271357156592,59.82922259027367,1.0000179850123965
304000,-79987.90582670702,15442.370434813434,-64545.53539189359,309.6257830519592,59.82922259027367,1.0000179850123965
304500,-79849.36035551562,14770.499873605091,-65078.860481910524,296.1545061193251,59.82922259027367,1.0000179850123965
305000,-80147.53528227343,15108.531952235731,-65039.003330037696,302.9321862355033,59.82922259027367,1.0000179850123965
305500,-79820.7053872539,15157.765606383793,-64662.9397808701,303.9193409461388,59.82922259027367,1.0000179850123965
306000,-79929.61737455858,14352.479490176309,-65577.13788438227,287.77302808801016,59.82922259027367,1.0000179850123965
306500,-80824.0662881328,14872.03343265783,-65952.03285547497,298.19029511043,59.82922259027367,1.0000179850123965
307000,-80549.38122953905,14711.973163819872,-65837.40806571918,294.9810218784698,59.82922259027367,1.0000179850123965
307500,-80608.37579741015,14806.398689099704,-65801.97710831044,296.87429191290374,59.82922259027367,1.0000179850123965
308000,-80524.5213662578,14668.913816628512,-65855.60754962929,294.1176645235799,59.82922259027367,1.0000179850123965
308500,-80785.62604155077,15043.961178057827,-65741.66486349294,301.63751605507343,59.82922259027367,1.0000179850123965
309000,-80573.01086821093,14925.046624914743,-65647.96424329618,299.2532310912705,59.82922259027367,1.0000179850123965
309500,-80473.41260160937,15059.216919805855,-65414.19568180351,301.9433998573505,59.82922259027367,1.0000179850123965
310000,-80131.33417143358,14700.830561710522,-65430.50360972306,294.7576081922156,59.82922259027367,1.0000179850123965
310500,-80049.3313638164,15048.69969156757,-65000.63167224883,301.73252517055545,59.82922259027367,1.0000179850123965
311000,-80022.51434721483,14725.6035258919,-65296.910821322934,295.2543161597881,59.82922259027367,1.0000179850123965
311500,-80195.32715239062,14988.132874204195,-65207.19427818642,300.5181359462934,59.82922259027367,1.0000179850123965
312000,-80008.73108305468,15153.875823353068,-64854.85525970161,303.84134922058894,59.82922259027367,1.0000179850123965
312500,-80003.86468901171,14979.951067190239,-65023.91362182147,300.35408740114485,59.82922259027367,1.0000179850123965
313000,-79808.31396879687,14932.084536910057,-64876.22943188681,299.3943440778938,59.82922259027367,1.0000179850123965
313500,-79926.48736967577,14787.054898332339,-65139.43247134343,296.486441071686,59.82922259027367,1.0000179850123965
314000,-80607.78192533983,15054.008978773607,-65553.77294656623,301.8389785298733,59.82922259027367,1.0000179850123965
314500,-80488.69440092577,15182.222126122331,-65306.47227480344,304.40970407443797,59.82922259027367,1.0000179850123965
315000,-80288.68567289843,14779.581772403326,-65509.1039004951,296.33660186938323,59.82922259027367,1.0000179850123965
315500,-80241.75409330858,14819.38561337674,-65422.36847993184,297.1346850057704,59.82922259027367,1.0000179850123965
316000,-80132.30933012499,14464.543719086796,-65667.7656110382,290.0199612758256,59.82922259027367,1.0000179850123965
316500,-80647.43335356249,14940.035023223143,-65707.39833033935,299.55375454928,59.82922259027367,1.0000179850123965
317000,-79952.70087065233,14856.260853652144,-65096.44001700019,297.87404851176177,59.82922259027367,1.0000179850123965
317500,-79869.34058012499,15100.970519760449,-64768.37006036454,302.7805764511741,59.82922259027367,1.0000179850123965
318000,-79842.65985502733,15318.527711050585,-64524.13214397675,307.1426862707866,59.82922259027367,1.0000179850123965
318500,-79592.03851713671,14827.18001740612,-64764.85849973059,297.290965964138,59.82922259027367,1.0000179850123965
319000,-80287.70514311327,15049.493607261451,-65238.21153585182,301.74844350183963,59.82922259027367,1.0000179850123965
319500,-80510.74506010546,14620.349910045974,-65890.39515005948,293.1439385229536,59.82922259027367,1.0000179850123965
320000,-80668.88061918749,14634.635370654287,-66034.2452485332,293.43036779531036,59.82922259027367,1.0000179850123965
320500,-80406.86188139452,14491.363254347583,-65915.49862704694,290.5577038226234,59.82922259027367,1.0000179850123965
321000,-80335.01623930468,15177.487345317379,-65157.5288939873,304.3147698011992,59.82922259027367,1.0000179850123965
321500,-80147.71466459765,15090.8388338238,-65056.875830773846,302.57743204371326,59.82922259027367,1.0000179850123965
322000,-80419.05212797655,15215.22895086091,-65203.82317711564,305.07150428178835,59.82922259027367,1.0000179850123965
322500,-80148.55060209765,15056.548785953782,-65092.001816143864,301.889902692733,59.82922259027367,1.0000179850123965
323000,-79865.23694242968,15189.123481717601,-64676.11346071208,304.5480790499202,59.82922259027367,1.0000179850123965
323500,-80038.1780435039,15048.22773675248,-64989.950306751416,301.72306228532005,59.82922259027367,1.0000179850123965
324000,-79893.06274809374,15347.072026689304,-64545.990721404436,307.7150113628849,59.82922259027367,1.0000179850123965
324500,-80072.90253080858,15178.490860254271,-64894.41167055431,304.3348906822162,59.82922259027367,1.0000179850123965
325000,-80074.43707670702,15490.668921294622,-64583.7681554124,310.5941872720295,59.82922259027367,1.0000179850123965
